aglomerado,periodo_inicial_laboral,periodo_final_laboral,actividad_inicial,actividad_final,empleo_inicial,empleo_final,desocupacion_inicial,desocupacion_final,periodo_inicial_ingreso,periodo_final_ingreso,ingreso_mediano_real_inicial,ingreso_mediano_real_final
Mar del Plata,2016T2,2025T4,45.81876383933691,52.166347062875964,40.49315280889077,47.23197270593568,11.623209759914836,9.45892253293658,2016T4,2025T4,985553.0633333335,1000000.0
Neuquen-Plottier,2016T2,2025T4,46.22279173308415,45.68060629923663,42.22571868300995,44.65169232084047,8.647407264268036,2.2524087610749555,2016T4,2025T4,1182663.676,1300000.0
